,scheme_code,annualized_median_return,top_25_percentile,bottom_25_percentile,bottom_5_percentile,top_5_percentile,scheme_name,annualized_mean_std
5110,149066,24.49,37.16,12.49,-3.31,58.48,Tata Business Cycle Fund-Direct Plan-IDCW Payout,14.759181831632361
5111,149067,24.49,37.35,12.61,-3.26,59.32,Tata Business Cycle Fund-Direct Plan-IDCW Reinvestment,14.759181831632361
5112,149068,22.48,34.85,10.62,-4.37,55.11,Tata Business Cycle Fund-Regular Plan-Growth,14.759474878000994
5113,149069,22.22,34.96,10.67,-4.37,54.98,Tata Business Cycle Fund-Regular Plan-IDCW Reinvestment,14.759474878000994
5114,149070,22.05,35.26,10.47,-4.94,56.02,Tata Business Cycle Fund-Regular Plan-IDCW Payout,14.759474878000994
5115,149071,24.5,37.57,12.21,-2.87,58.05,Tata Business Cycle Fund-Direct Plan-Growth,14.759181831632361
5116,149072,16.84,28.78,6.62,-6.72,46.83,ICICI Prudential FMCG ETF,13.898155024984312
5117,149073,5.58,6.16,4.99,4.16,6.96,TRUSTMF Short Duration Fund-Regular Plan-Growth,0.8068149060534747
5118,149074,2.04,2.59,1.5,0.67,3.32,TRUSTMF Short Term Fund-Regular Plan-Weekly Income Distribution Cum Capital Withdrawal,0.7960932483740161
5119,149075,2.86,3.96,1.62,-0.25,5.48,TRUSTMF Short Duration Fund-Regular Plan-Quarterly Income Distribution Cum Capital Withdrawal,1.7074842163812995
5120,149076,6.15,6.71,5.58,4.7,7.51,TRUSTMF Short Term Fund-Direct Plan-Growth,0.8127808387414294
5121,149077,2.32,2.86,1.78,0.93,3.64,TRUSTMF Short Duration Fund-Direct Plan-Weekly Income Distribution Cum Capital Withdrawal,0.7994177111476813
5122,149078,2.8,3.64,1.93,0.64,4.78,TRUSTMF Short Term Fund-Direct Plan-Monthly Income Distribution Cum Capital Withdrawal,1.2213225209332925
5123,149079,3.42,4.56,2.16,0.24,6.01,TRUSTMF Short Duration Fund-Direct Plan-Quarterly Income Distribution Cum Capital Withdrawal,1.6959784889542577
5124,149080,2.5,3.35,1.65,0.4,4.52,TRUSTMF Short Term Fund-Regular Plan-Monthly Income Distribution Cum Capital Withdrawal,1.2267967666763508
